crime_head,category,year,cases,crime_rate,ipc_cases,bns_cases,share_pct,source_table
Sudden Quarrel/Provocation,IPC,2022,,,,,,table_1.2.xlsx
Sudden Quarrel/Provocation,IPC,2023,,,,,,table_1.2.xlsx
Sudden Quarrel/Provocation,IPC,2024,0.0,807.0,0.0,807.0,0.0,table_1.2.xlsx
Rioting while in Aandolan/Morcha,IPC,2022,781.0,0.1,,,,table_1.2.xlsx
Rioting while in Aandolan/Morcha,IPC,2023,443.0,0.0,,,,table_1.2.xlsx
Rioting while in Aandolan/Morcha,IPC,2024,233.0,189.0,233.0,189.0,0.0,table_1.2.xlsx
Rioting/Attacks on Police Personnel or Govt Servants,IPC,2022,667.0,0.0,,,,table_1.2.xlsx
Rioting/Attacks on Police Personnel or Govt Servants,IPC,2023,528.0,0.0,,,,table_1.2.xlsx
Rioting/Attacks on Police Personnel or Govt Servants,IPC,2024,268.0,227.0,268.0,227.0,0.0,table_1.2.xlsx
Other Rioting,IPC,2022,17943.0,1.3,,,,table_1.2.xlsx
Other Rioting,IPC,2023,23534.0,1.7,,,,table_1.2.xlsx
Other Rioting,IPC,2024,8549.0,5962.0,8549.0,5962.0,0.4,table_1.2.xlsx
Promoting enmity between groups,IPC,2022,1491.0,0.1,,,,table_1.2.xlsx
Promoting enmity between groups,IPC,2023,2111.0,0.2,,,,table_1.2.xlsx
Promoting enmity between groups,IPC,2024,904.0,697.0,904.0,697.0,0.0,table_1.2.xlsx
"Imputation, assertions prejudicial to national integration",IPC,2022,79.0,0.0,,,,table_1.2.xlsx
"Imputation, assertions prejudicial to national integration",IPC,2023,44.0,0.0,,,,table_1.2.xlsx
"Imputation, assertions prejudicial to national integration",IPC,2024,17.0,23.0,17.0,23.0,0.0,table_1.2.xlsx
Affray,IPC,2022,6305.0,0.5,,,,table_1.2.xlsx
Affray,IPC,2023,6830.0,0.5,,,,table_1.2.xlsx
Affray,IPC,2024,2938.0,2348.0,2938.0,2348.0,0.1,table_1.2.xlsx
Offences against Public Tranquillity (Total of Sl. 36-40),IPC,2022,57082.0,4.1,,,,table_1.2.xlsx
Offences against Public Tranquillity (Total of Sl. 36-40),IPC,2023,58247.0,4.2,,,,table_1.2.xlsx
Offences against Public Tranquillity (Total of Sl. 36-40),IPC,2024,24748.0,19601.0,24748.0,19601.0,1.3,table_1.2.xlsx
Theft,IPC,2022,652731.0,47.3,,,,table_1.2.xlsx
Theft,IPC,2023,689580.0,49.5,,,,table_1.2.xlsx
Theft,IPC,2024,321139.0,300806.0,321139.0,300806.0,17.5,table_1.2.xlsx
Household Theft (Dwelling Units/Houses),IPC,2022,,,,,,table_1.2.xlsx
Household Theft (Dwelling Units/Houses),IPC,2023,,,,,,table_1.2.xlsx
Household Theft (Dwelling Units/Houses),IPC,2024,0.0,29813.0,0.0,29813.0,0.8,table_1.2.xlsx
Vehicle Theft,IPC,2022,252569.0,18.3,,,,table_1.2.xlsx
Vehicle Theft,IPC,2023,250630.0,18.0,,,,table_1.2.xlsx
Vehicle Theft,IPC,2024,122134.0,110899.0,122134.0,110899.0,6.6,table_1.2.xlsx
Theft from Vehicles,IPC,2022,,,,,,table_1.2.xlsx
Theft from Vehicles,IPC,2023,,,,,,table_1.2.xlsx
Theft from Vehicles,IPC,2024,0.0,5643.0,0.0,5643.0,0.2,table_1.2.xlsx
Theft of idol or icon from Place of Worship,IPC,2022,,,,,,table_1.2.xlsx
Theft of idol or icon from Place of Worship,IPC,2023,,,,,,table_1.2.xlsx
Theft of idol or icon from Place of Worship,IPC,2024,0.0,465.0,0.0,465.0,0.0,table_1.2.xlsx
Theft of Government Property,IPC,2022,,,,,,table_1.2.xlsx
Theft of Government Property,IPC,2023,,,,,,table_1.2.xlsx
Theft of Government Property,IPC,2024,0.0,1037.0,0.0,1037.0,0.0,table_1.2.xlsx
Theft by servant/employee,IPC,2022,,,,,,table_1.2.xlsx
Theft by servant/employee,IPC,2023,,,,,,table_1.2.xlsx
Theft by servant/employee,IPC,2024,0.0,1516.0,0.0,1516.0,0.0,table_1.2.xlsx
Other Thefts,IPC,2022,400162.0,29.0,,,,table_1.2.xlsx
Other Thefts,IPC,2023,438950.0,31.5,,,,table_1.2.xlsx
Other Thefts,IPC,2024,199005.0,151433.0,199005.0,151433.0,9.9,table_1.2.xlsx
Snatching,IPC,2022,,,,,,table_1.2.xlsx
Snatching,IPC,2023,,,,,,table_1.2.xlsx
Snatching,IPC,2024,0.0,12644.0,0.0,12644.0,0.4,table_1.2.xlsx
Extortion,IPC,2022,11802.0,0.9,,,,table_1.2.xlsx
Extortion,IPC,2023,12093.0,0.9,,,,table_1.2.xlsx
Extortion,IPC,2024,6373.0,5746.0,6373.0,5746.0,0.3,table_1.2.xlsx
Robbery,IPC,2022,28356.0,2.1,,,,table_1.2.xlsx
Robbery,IPC,2023,26599.0,1.9,,,,table_1.2.xlsx
Robbery,IPC,2024,13085.0,10060.0,13085.0,10060.0,0.7,table_1.2.xlsx
Dacoity,IPC,2022,2666.0,0.2,,,,table_1.2.xlsx
Dacoity,IPC,2023,3792.0,0.3,,,,table_1.2.xlsx
Dacoity,IPC,2024,1282.0,1111.0,1282.0,1111.0,0.1,table_1.2.xlsx
Dacoity,IPC,2022,2655.0,0.2,,,,table_1.2.xlsx
Dacoity,IPC,2023,3778.0,0.3,,,,table_1.2.xlsx
Dacoity,IPC,2024,1277.0,1096.0,1277.0,1096.0,0.1,table_1.2.xlsx
Dacoity with Murder,IPC,2022,11.0,0.0,,,,table_1.2.xlsx
Dacoity with Murder,IPC,2023,14.0,0.0,,,,table_1.2.xlsx
Dacoity with Murder,IPC,2024,5.0,15.0,5.0,15.0,0.0,table_1.2.xlsx
Attempt to Commit Dacoity/Robbery,IPC,2022,484.0,0.0,,,,table_1.2.xlsx
Attempt to Commit Dacoity/Robbery,IPC,2023,505.0,0.0,,,,table_1.2.xlsx
Attempt to Commit Dacoity/Robbery,IPC,2024,202.0,185.0,202.0,185.0,0.0,table_1.2.xlsx
Making Preparation and Assembly for committing Dacoity,IPC,2022,4080.0,0.3,,,,table_1.2.xlsx
Making Preparation and Assembly for committing Dacoity,IPC,2023,4016.0,0.3,,,,table_1.2.xlsx
Making Preparation and Assembly for committing Dacoity,IPC,2024,1809.0,1189.0,1809.0,1189.0,0.1,table_1.2.xlsx
Criminal Misappropriation,IPC,2022,158.0,0.0,,,,table_1.2.xlsx
Criminal Misappropriation,IPC,2023,119.0,0.0,,,,table_1.2.xlsx
Criminal Misappropriation,IPC,2024,100.0,131.0,100.0,131.0,0.0,table_1.2.xlsx
Criminal Breach of Trust,IPC,2022,21814.0,1.6,,,,table_1.2.xlsx
Criminal Breach of Trust,IPC,2023,22759.0,1.6,,,,table_1.2.xlsx
Criminal Breach of Trust,IPC,2024,13457.0,7794.0,13457.0,7794.0,0.6,table_1.2.xlsx
Dishonestly Receiving/Dealing-in Stolen Property,IPC,2022,9939.0,0.7,,,,table_1.2.xlsx
Dishonestly Receiving/Dealing-in Stolen Property,IPC,2023,11271.0,0.8,,,,table_1.2.xlsx
Dishonestly Receiving/Dealing-in Stolen Property,IPC,2024,5114.0,4244.0,5114.0,4244.0,0.3,table_1.2.xlsx
Burglary,IPC,2022,107222.0,7.8,,,,table_1.2.xlsx
Burglary,IPC,2023,107573.0,7.7,,,,table_1.2.xlsx
Burglary,IPC,2024,54817.0,52715.0,54817.0,52715.0,3.0,table_1.2.xlsx
Day Time,IPC,2022,17501.0,1.3,,,,table_1.2.xlsx
Day Time,IPC,2023,18269.0,1.3,,,,table_1.2.xlsx
Day Time,IPC,2024,9432.0,9038.0,9432.0,9038.0,0.5,table_1.2.xlsx
Night,IPC,2022,89721.0,6.5,,,,table_1.2.xlsx
Night,IPC,2023,89304.0,6.4,,,,table_1.2.xlsx
Night,IPC,2024,45385.0,43677.0,45385.0,43677.0,2.5,table_1.2.xlsx
Offences against Property (Total of Sl. 41-51),IPC,2022,839252.0,60.8,,,,table_1.2.xlsx
Offences against Property (Total of Sl. 41-51),IPC,2023,878307.0,63.1,,,,table_1.2.xlsx
Offences against Property (Total of Sl. 41-51),IPC,2024,417378.0,396625.0,417378.0,396625.0,23.0,table_1.2.xlsx
Counterfeiting,IPC,2022,670.0,0.0,,,,table_1.2.xlsx
Counterfeiting,IPC,2023,661.0,0.0,,,,table_1.2.xlsx
Counterfeiting,IPC,2024,474.0,272.0,474.0,272.0,0.0,table_1.2.xlsx
Counterfeit Coin,IPC,2022,10.0,0.0,,,,table_1.2.xlsx
Counterfeit Coin,IPC,2023,16.0,0.0,,,,table_1.2.xlsx
Counterfeit Coin,IPC,2024,5.0,20.0,5.0,20.0,0.0,table_1.2.xlsx
Counterfeiting Government Stamp,IPC,2022,1.0,0.0,,,,table_1.2.xlsx
Counterfeiting Government Stamp,IPC,2023,1.0,0.0,,,,table_1.2.xlsx
Counterfeiting Government Stamp,IPC,2024,0.0,3.0,0.0,3.0,0.0,table_1.2.xlsx
Counterfeiting of Seal or Mark,IPC,2022,12.0,0.0,,,,table_1.2.xlsx
Counterfeiting of Seal or Mark,IPC,2023,15.0,0.0,,,,table_1.2.xlsx
Counterfeiting of Seal or Mark,IPC,2024,11.0,8.0,11.0,8.0,0.0,table_1.2.xlsx
Counterfeit Currency & Bank notes,IPC,2022,647.0,0.0,,,,table_1.2.xlsx
Counterfeit Currency & Bank notes,IPC,2023,629.0,0.0,,,,table_1.2.xlsx
Counterfeit Currency & Bank notes,IPC,2024,458.0,241.0,458.0,241.0,0.0,table_1.2.xlsx
"Forgery, Cheating & Fraud",IPC,2022,170901.0,12.4,,,,table_1.2.xlsx
"Forgery, Cheating & Fraud",IPC,2023,181553.0,13.0,,,,table_1.2.xlsx
"Forgery, Cheating & Fraud",IPC,2024,129580.0,62802.0,129580.0,62802.0,5.4,table_1.2.xlsx
Fraud,IPC,2022,29492.0,2.1,,,,table_1.2.xlsx
Fraud,IPC,2023,46916.0,3.4,,,,table_1.2.xlsx
Fraud,IPC,2024,34320.0,19452.0,34320.0,19452.0,1.5,table_1.2.xlsx
Bank,IPC,2022,2814.0,0.2,,,,table_1.2.xlsx
Bank,IPC,2023,6011.0,0.4,,,,table_1.2.xlsx
Bank,IPC,2024,3430.0,3138.0,3430.0,3138.0,0.2,table_1.2.xlsx
ATMs,IPC,2022,2569.0,0.2,,,,table_1.2.xlsx
ATMs,IPC,2023,3198.0,0.2,,,,table_1.2.xlsx
ATMs,IPC,2024,1533.0,1139.0,1533.0,1139.0,0.1,table_1.2.xlsx
Credit Card/Debit Card,IPC,2022,3357.0,0.2,,,,table_1.2.xlsx
Credit Card/Debit Card,IPC,2023,2753.0,0.2,,,,table_1.2.xlsx
Credit Card/Debit Card,IPC,2024,2859.0,2199.0,2859.0,2199.0,0.1,table_1.2.xlsx
Other Frauds,IPC,2022,20752.0,1.5,,,,table_1.2.xlsx
Other Frauds,IPC,2023,34954.0,2.5,,,,table_1.2.xlsx
Other Frauds,IPC,2024,26498.0,12976.0,26498.0,12976.0,1.1,table_1.2.xlsx
Cheating,IPC,2022,121417.0,8.8,,,,table_1.2.xlsx
Cheating,IPC,2023,112113.0,8.1,,,,table_1.2.xlsx
Cheating,IPC,2024,78912.0,37307.0,78912.0,37307.0,3.3,table_1.2.xlsx
Forgery,IPC,2022,19992.0,1.4,,,,table_1.2.xlsx
Forgery,IPC,2023,22524.0,1.6,,,,table_1.2.xlsx
Forgery,IPC,2024,16348.0,6043.0,16348.0,6043.0,0.6,table_1.2.xlsx
Offences Relating to Documents & Property Marks (Total of 52&53),IPC,2022,171571.0,12.4,,,,table_1.2.xlsx
Offences Relating to Documents & Property Marks (Total of 52&53),IPC,2023,182214.0,13.1,,,,table_1.2.xlsx
Offences Relating to Documents & Property Marks (Total of 52&53),IPC,2024,130054.0,63074.0,130054.0,63074.0,5.4,table_1.2.xlsx
Abetment outside India for offence in India,IPC,2022,,,,,,table_1.2.xlsx
Abetment outside India for offence in India,IPC,2023,,,,,,table_1.2.xlsx
Abetment outside India for offence in India,IPC,2024,0.0,1.0,0.0,1.0,0.0,table_1.2.xlsx
Offences relating to Elections,IPC,2022,931.0,0.1,,,,table_1.2.xlsx
Offences relating to Elections,IPC,2023,2124.0,0.2,,,,table_1.2.xlsx
Offences relating to Elections,IPC,2024,1922.0,119.0,1922.0,119.0,0.1,table_1.2.xlsx
Disobedience to order duly promulgated by Public Servant,IPC,2022,67350.0,4.9,,,,table_1.2.xlsx
Disobedience to order duly promulgated by Public Servant,IPC,2023,52207.0,3.7,,,,table_1.2.xlsx
Disobedience to order duly promulgated by Public Servant,IPC,2024,22867.0,33220.0,22867.0,33220.0,1.6,table_1.2.xlsx
Harbouring an Offender,IPC,2022,75.0,0.0,,,,table_1.2.xlsx
Harbouring an Offender,IPC,2023,54.0,0.0,,,,table_1.2.xlsx
Harbouring an Offender,IPC,2024,32.0,28.0,32.0,28.0,0.0,table_1.2.xlsx
Rash Driving on Public way,IPC,2022,489722.0,35.5,,,,table_1.2.xlsx
Rash Driving on Public way,IPC,2023,526507.0,37.8,,,,table_1.2.xlsx
Rash Driving on Public way,IPC,2024,230829.0,204344.0,230829.0,204344.0,12.3,table_1.2.xlsx
Obstruction on Public way,IPC,2022,93548.0,6.8,,,,table_1.2.xlsx
Obstruction on Public way,IPC,2023,151469.0,10.9,,,,table_1.2.xlsx
Obstruction on Public way,IPC,2024,74917.0,67198.0,74917.0,67198.0,4.0,table_1.2.xlsx
Sale of obscene Books/Objects,IPC,2022,49.0,0.0,,,,table_1.2.xlsx
Sale of obscene Books/Objects,IPC,2023,283.0,0.0,,,,table_1.2.xlsx
Sale of obscene Books/Objects,IPC,2024,28.0,64.0,28.0,64.0,0.0,table_1.2.xlsx
Obscene Acts and Songs at Public Places,IPC,2022,25362.0,1.8,,,,table_1.2.xlsx
Obscene Acts and Songs at Public Places,IPC,2023,32786.0,2.4,,,,table_1.2.xlsx
Obscene Acts and Songs at Public Places,IPC,2024,20486.0,20433.0,20486.0,20433.0,1.2,table_1.2.xlsx
Offences relating to Religion,IPC,2022,1872.0,0.1,,,,table_1.2.xlsx
Offences relating to Religion,IPC,2023,2186.0,0.2,,,,table_1.2.xlsx
Offences relating to Religion,IPC,2024,1206.0,1100.0,1206.0,1100.0,0.1,table_1.2.xlsx
Cheating by Impersonation,IPC,2022,692.0,0.1,,,,table_1.2.xlsx
Cheating by Impersonation,IPC,2023,406.0,0.0,,,,table_1.2.xlsx
Cheating by Impersonation,IPC,2024,328.0,385.0,328.0,385.0,0.0,table_1.2.xlsx
Offences related to Mischief,IPC,2022,3441.0,0.2,,,,table_1.2.xlsx
Offences related to Mischief,IPC,2023,3707.0,0.3,,,,table_1.2.xlsx
Offences related to Mischief,IPC,2024,2294.0,3067.0,2294.0,3067.0,0.2,table_1.2.xlsx
Arson,IPC,2022,7811.0,0.6,,,,table_1.2.xlsx
Arson,IPC,2023,13626.0,1.0,,,,table_1.2.xlsx
Arson,IPC,2024,4663.0,2845.0,4663.0,2845.0,0.2,table_1.2.xlsx
Criminal Trespass,IPC,2022,45299.0,3.3,,,,table_1.2.xlsx
Criminal Trespass,IPC,2023,44695.0,3.2,,,,table_1.2.xlsx
Criminal Trespass,IPC,2024,25449.0,13253.0,25449.0,13253.0,1.1,table_1.2.xlsx
Circulate False/Fake News/Rumours,IPC,2022,858.0,0.1,,,,table_1.2.xlsx
Circulate False/Fake News/Rumours,IPC,2023,1087.0,0.1,,,,table_1.2.xlsx
Circulate False/Fake News/Rumours,IPC,2024,977.0,1426.0,977.0,1426.0,0.1,table_1.2.xlsx
Offences relating to Adulteration or Sale of Food/Drugs,IPC,2022,4694.0,0.3,,,,table_1.2.xlsx
Offences relating to Adulteration or Sale of Food/Drugs,IPC,2023,565.0,0.0,,,,table_1.2.xlsx
Offences relating to Adulteration or Sale of Food/Drugs,IPC,2024,,,,,,table_1.2.xlsx
Criminal Intimidation,IPC,2022,150932.0,10.9,,,,table_1.2.xlsx
Criminal Intimidation,IPC,2023,167178.0,12.0,,,,table_1.2.xlsx
Criminal Intimidation,IPC,2024,,,,,,table_1.2.xlsx
Insult to the Modesty of Women,IPC,2022,8972.0,0.7,,,,table_1.2.xlsx
Insult to the Modesty of Women,IPC,2023,8823.0,0.6,,,,table_1.2.xlsx
Insult to the Modesty of Women,IPC,2024,,,,,,table_1.2.xlsx
Cruelty by Husband or his Relatives,IPC,2022,140019.0,10.1,,,,table_1.2.xlsx
Cruelty by Husband or his Relatives,IPC,2023,133676.0,9.6,,,,table_1.2.xlsx
Cruelty by Husband or his Relatives,IPC,2024,,,,,,table_1.2.xlsx
"Misc. BNS/IPC Crimes (Total of 54-57,E6-E7&A1-A2)",IPC,2022,1041627.0,75.5,,,,table_1.2.xlsx
"Misc. BNS/IPC Crimes (Total of 54-57,E6-E7&A1-A2)",IPC,2023,1141379.0,82.0,,,,table_1.2.xlsx
"Misc. BNS/IPC Crimes (Total of 54-57,E6-E7&A1-A2)",IPC,2024,385998.0,347483.0,385998.0,347483.0,20.7,table_1.2.xlsx
Other BNS/IPC crimes,IPC,2022,292964.0,21.2,,,,table_1.2.xlsx
Other BNS/IPC crimes,IPC,2023,316982.0,22.8,,,,table_1.2.xlsx
Other BNS/IPC crimes,IPC,2024,296526.0,306280.0,296526.0,306280.0,17.0,table_1.2.xlsx
The Dowry Prohibition Act,SLL,2022,13479.0,1.0,,,,table_1.3.xlsx
The Dowry Prohibition Act,SLL,2023,15489.0,1.1,,,,table_1.3.xlsx
The Dowry Prohibition Act,SLL,2024,12343.0,0.9,,,0.5,table_1.3.xlsx
The Immoral Traffic (Prevention) Act,SLL,2022,1497.0,0.1,,,,table_1.3.xlsx
The Immoral Traffic (Prevention) Act,SLL,2023,2166.0,0.2,,,,table_1.3.xlsx
The Immoral Traffic (Prevention) Act,SLL,2024,2137.0,0.2,,,0.1,table_1.3.xlsx
The Protection of Women from Domestic Violence Act,SLL,2022,468.0,0.0,,,,table_1.3.xlsx
The Protection of Women from Domestic Violence Act,SLL,2023,632.0,0.0,,,,table_1.3.xlsx
The Protection of Women from Domestic Violence Act,SLL,2024,616.0,0.0,,,0.0,table_1.3.xlsx
The Indecent Representation of Women (Prohibition) Act,SLL,2022,28.0,0.0,,,,table_1.3.xlsx
The Indecent Representation of Women (Prohibition) Act,SLL,2023,31.0,0.0,,,,table_1.3.xlsx
The Indecent Representation of Women (Prohibition) Act,SLL,2024,21.0,0.0,,,0.0,table_1.3.xlsx
Crime Against Women – Related Acts (Total of Sl.1-4),SLL,2022,15472.0,1.1,,,,table_1.3.xlsx
Crime Against Women – Related Acts (Total of Sl.1-4),SLL,2023,18318.0,1.3,,,,table_1.3.xlsx
Crime Against Women – Related Acts (Total of Sl.1-4),SLL,2024,15117.0,1.1,,,0.6,table_1.3.xlsx
The Protection of Children from Sexual Offences Act,SLL,2022,63414.0,4.6,,,,table_1.3.xlsx
The Protection of Children from Sexual Offences Act,SLL,2023,67694.0,4.9,,,,table_1.3.xlsx
The Protection of Children from Sexual Offences Act,SLL,2024,69191.0,4.9,,,3.0,table_1.3.xlsx
The Juvenile Justice (Care and Protection of Children) Act,SLL,2022,1830.0,0.1,,,,table_1.3.xlsx
The Juvenile Justice (Care and Protection of Children) Act,SLL,2023,1974.0,0.1,,,,table_1.3.xlsx
The Juvenile Justice (Care and Protection of Children) Act,SLL,2024,2313.0,0.2,,,0.1,table_1.3.xlsx
The Prohibition of Child Marriage Act,SLL,2022,1002.0,0.1,,,,table_1.3.xlsx
The Prohibition of Child Marriage Act,SLL,2023,6038.0,0.4,,,,table_1.3.xlsx
The Prohibition of Child Marriage Act,SLL,2024,1499.0,0.1,,,0.1,table_1.3.xlsx
The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,SLL,2022,57.0,0.0,,,,table_1.3.xlsx
The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,SLL,2023,30.0,0.0,,,,table_1.3.xlsx
The Pre-Natal Diagnostic Techniques (Reg and Prev of Misuse) Act,SLL,2024,31.0,0.0,,,0.0,table_1.3.xlsx
The Child Labour (Prohibition & Regulation) Act,SLL,2022,751.0,0.1,,,,table_1.3.xlsx
The Child Labour (Prohibition & Regulation) Act,SLL,2023,1390.0,0.1,,,,table_1.3.xlsx
The Child Labour (Prohibition & Regulation) Act,SLL,2024,1235.0,0.1,,,0.1,table_1.3.xlsx
The Medical Termination of Pregnancy Act,SLL,2022,32.0,0.0,,,,table_1.3.xlsx
The Medical Termination of Pregnancy Act,SLL,2023,30.0,0.0,,,,table_1.3.xlsx
The Medical Termination of Pregnancy Act,SLL,2024,15.0,0.0,,,0.0,table_1.3.xlsx
Children Related – Acts (Total of Sl. 5-10),SLL,2022,67086.0,4.9,,,,table_1.3.xlsx
Children Related – Acts (Total of Sl. 5-10),SLL,2023,77156.0,5.5,,,,table_1.3.xlsx
Children Related – Acts (Total of Sl. 5-10),SLL,2024,74284.0,5.3,,,3.2,table_1.3.xlsx
The SC/ST (Prevention of Atrocities) Act for Crimes against SCs,SLL,2022,4703.0,0.3,,,,table_1.3.xlsx
The SC/ST (Prevention of Atrocities) Act for Crimes against SCs,SLL,2023,4345.0,0.3,,,,table_1.3.xlsx
The SC/ST (Prevention of Atrocities) Act for Crimes against SCs,SLL,2024,6963.0,0.5,,,0.3,table_1.3.xlsx
The SC/ST (Prevention of Atrocities) Act for Crimes against STs,SLL,2022,329.0,0.0,,,,table_1.3.xlsx
The SC/ST (Prevention of Atrocities) Act for Crimes against STs,SLL,2023,848.0,0.1,,,,table_1.3.xlsx
The SC/ST (Prevention of Atrocities) Act for Crimes against STs,SLL,2024,1375.0,0.1,,,0.1,table_1.3.xlsx
The Protection of Civil Rights Act for Crimes against SCs,SLL,2022,13.0,0.0,,,,table_1.3.xlsx
The Protection of Civil Rights Act for Crimes against SCs,SLL,2023,23.0,0.0,,,,table_1.3.xlsx
The Protection of Civil Rights Act for Crimes against SCs,SLL,2024,13.0,0.0,,,0.0,table_1.3.xlsx
The Protection of Civil Rights Act for Crimes against STs,SLL,2022,0.0,0.0,,,,table_1.3.xlsx
The Protection of Civil Rights Act for Crimes against STs,SLL,2023,1.0,0.0,,,,table_1.3.xlsx
The Protection of Civil Rights Act for Crimes against STs,SLL,2024,5.0,0.0,,,0.0,table_1.3.xlsx
Scheduled Castes and Scheduled Tribes – Related Acts (Total of Sl. 11-14),SLL,2022,5045.0,0.4,,,,table_1.3.xlsx
Scheduled Castes and Scheduled Tribes – Related Acts (Total of Sl. 11-14),SLL,2023,5217.0,0.4,,,,table_1.3.xlsx
Scheduled Castes and Scheduled Tribes – Related Acts (Total of Sl. 11-14),SLL,2024,8356.0,0.6,,,0.4,table_1.3.xlsx
The Prevention of Damage to Public Property Act,SLL,2022,4403.0,0.3,,,,table_1.3.xlsx
The Prevention of Damage to Public Property Act,SLL,2023,3989.0,0.3,,,,table_1.3.xlsx
The Prevention of Damage to Public Property Act,SLL,2024,4395.0,0.3,,,0.2,table_1.3.xlsx
The Unlawful Activities (P) Act,SLL,2022,1005.0,0.1,,,,table_1.3.xlsx
The Unlawful Activities (P) Act,SLL,2023,750.0,0.1,,,,table_1.3.xlsx
The Unlawful Activities (P) Act,SLL,2024,649.0,0.0,,,0.0,table_1.3.xlsx
The Official Secrets Act,SLL,2022,55.0,0.0,,,,table_1.3.xlsx
The Official Secrets Act,SLL,2023,32.0,0.0,,,,table_1.3.xlsx
The Official Secrets Act,SLL,2024,27.0,0.0,,,0.0,table_1.3.xlsx
Offences against State - Related Acts (Total of Sl. 15-17),SLL,2022,5463.0,0.4,,,,table_1.3.xlsx
Offences against State - Related Acts (Total of Sl. 15-17),SLL,2023,4771.0,0.3,,,,table_1.3.xlsx
Offences against State - Related Acts (Total of Sl. 15-17),SLL,2024,5071.0,0.4,,,0.2,table_1.3.xlsx
The Arms Act,SLL,2022,80118.0,5.8,,,,table_1.3.xlsx
The Arms Act,SLL,2023,73388.0,5.3,,,,table_1.3.xlsx
The Arms Act,SLL,2024,63564.0,4.5,,,2.7,table_1.3.xlsx
Fire Arms,SLL,2022,52662.0,3.8,,,,table_1.3.xlsx
Fire Arms,SLL,2023,43215.0,3.1,,,,table_1.3.xlsx
Fire Arms,SLL,2024,36245.0,2.6,,,1.5,table_1.3.xlsx
Legal/Licensed Arms,SLL,2022,302.0,0.0,,,,table_1.3.xlsx
Legal/Licensed Arms,SLL,2023,268.0,0.0,,,,table_1.3.xlsx
Legal/Licensed Arms,SLL,2024,361.0,0.0,,,0.0,table_1.3.xlsx
Illegal/Unlicensed Arms,SLL,2022,52360.0,3.8,,,,table_1.3.xlsx
Illegal/Unlicensed Arms,SLL,2023,42947.0,3.1,,,,table_1.3.xlsx
Illegal/Unlicensed Arms,SLL,2024,35884.0,2.6,,,1.5,table_1.3.xlsx
Other Arms,SLL,2022,27456.0,2.0,,,,table_1.3.xlsx
Other Arms,SLL,2023,30173.0,2.2,,,,table_1.3.xlsx
Other Arms,SLL,2024,27319.0,1.9,,,1.2,table_1.3.xlsx
The Explosives Act,SLL,2022,2248.0,0.2,,,,table_1.3.xlsx
The Explosives Act,SLL,2023,2611.0,0.2,,,,table_1.3.xlsx
The Explosives Act,SLL,2024,2574.0,0.2,,,0.1,table_1.3.xlsx
The Explosive Substances Act,SLL,2022,2108.0,0.2,,,,table_1.3.xlsx
The Explosive Substances Act,SLL,2023,1554.0,0.1,,,,table_1.3.xlsx
The Explosive Substances Act,SLL,2024,1433.0,0.1,,,0.1,table_1.3.xlsx
Arms/Explosive - Related Acts (Total of Sl. 18-20),SLL,2022,84474.0,6.1,,,,table_1.3.xlsx
Arms/Explosive - Related Acts (Total of Sl. 18-20),SLL,2023,77553.0,5.6,,,,table_1.3.xlsx
Arms/Explosive - Related Acts (Total of Sl. 18-20),SLL,2024,67571.0,4.8,,,2.9,table_1.3.xlsx
The Information Technology Act,SLL,2022,31908.0,2.3,,,,table_1.3.xlsx
The Information Technology Act,SLL,2023,44237.0,3.2,,,,table_1.3.xlsx
The Information Technology Act,SLL,2024,44872.0,3.2,,,1.9,table_1.3.xlsx
The Copy Right Act,SLL,2022,1866.0,0.1,,,,table_1.3.xlsx
The Copy Right Act,SLL,2023,1942.0,0.1,,,,table_1.3.xlsx
The Copy Right Act,SLL,2024,1840.0,0.1,,,0.1,table_1.3.xlsx
The Trade Marks Act,SLL,2022,217.0,0.0,,,,table_1.3.xlsx
The Trade Marks Act,SLL,2023,139.0,0.0,,,,table_1.3.xlsx
The Trade Marks Act,SLL,2024,128.0,0.0,,,0.0,table_1.3.xlsx
Information Technology/Intellectual Property – Related Acts (Total of Sl. 21-23),SLL,2022,33991.0,2.5,,,,table_1.3.xlsx
Information Technology/Intellectual Property – Related Acts (Total of Sl. 21-23),SLL,2023,46318.0,3.3,,,,table_1.3.xlsx
Information Technology/Intellectual Property – Related Acts (Total of Sl. 21-23),SLL,2024,46840.0,3.3,,,2.0,table_1.3.xlsx
The Lotteries (Regulation) Act,SLL,2022,4882.0,0.4,,,,table_1.3.xlsx
The Lotteries (Regulation) Act,SLL,2023,8538.0,0.6,,,,table_1.3.xlsx
The Lotteries (Regulation) Act,SLL,2024,7899.0,0.6,,,0.3,table_1.3.xlsx
The Chit Funds Acts,SLL,2022,69.0,0.0,,,,table_1.3.xlsx
The Chit Funds Acts,SLL,2023,64.0,0.0,,,,table_1.3.xlsx
The Chit Funds Acts,SLL,2024,56.0,0.0,,,0.0,table_1.3.xlsx
The Negotiable Instruments Act,SLL,2022,21.0,0.0,,,,table_1.3.xlsx
The Negotiable Instruments Act,SLL,2023,17.0,0.0,,,,table_1.3.xlsx
The Negotiable Instruments Act,SLL,2024,18.0,0.0,,,0.0,table_1.3.xlsx
