city,state,year,total_cases,ipc_cases,bns_cases,crime_rate,chargesheet_rate,stat_type,source_table
Ghaziabad,Uttar Pradesh,2022,72,,,,,sc,vol2-7b.1.xlsx
Ghaziabad,Uttar Pradesh,2023,63,,,,,sc,vol2-7b.1.xlsx
Ghaziabad,Uttar Pradesh,2024,52,,,,,sc,vol2-7b.1.xlsx
Hyderabad,Telangana,2022,113,,,,,sc,vol2-7b.1.xlsx
Hyderabad,Telangana,2023,134,,,,,sc,vol2-7b.1.xlsx
Hyderabad,Telangana,2024,153,,,,,sc,vol2-7b.1.xlsx
Indore,Madhya Pradesh,2022,47,,,,,sc,vol2-7b.1.xlsx
Indore,Madhya Pradesh,2023,46,,,,,sc,vol2-7b.1.xlsx
Indore,Madhya Pradesh,2024,28,,,,,sc,vol2-7b.1.xlsx
Jaipur,Rajasthan,2022,381,,,,,sc,vol2-7b.1.xlsx
Jaipur,Rajasthan,2023,489,,,,,sc,vol2-7b.1.xlsx
Jaipur,Rajasthan,2024,396,,,,,sc,vol2-7b.1.xlsx
Kanpur,Uttar Pradesh,2022,376,,,,,sc,vol2-7b.1.xlsx
Kanpur,Uttar Pradesh,2023,263,,,,,sc,vol2-7b.1.xlsx
Kanpur,Uttar Pradesh,2024,271,,,,,sc,vol2-7b.1.xlsx
Kochi,Kerala,2022,22,,,,,sc,vol2-7b.1.xlsx
Kochi,Kerala,2023,43,,,,,sc,vol2-7b.1.xlsx
Kochi,Kerala,2024,42,,,,,sc,vol2-7b.1.xlsx
Kolkata,West Bengal,2022,10,,,,,sc,vol2-7b.1.xlsx
Kolkata,West Bengal,2023,10,,,,,sc,vol2-7b.1.xlsx
Kolkata,West Bengal,2024,7,,,,,sc,vol2-7b.1.xlsx
Kozhikode,Kerala,2022,27,,,,,sc,vol2-7b.1.xlsx
Kozhikode,Kerala,2023,30,,,,,sc,vol2-7b.1.xlsx
Kozhikode,Kerala,2024,23,,,,,sc,vol2-7b.1.xlsx
Lucknow,Uttar Pradesh,2022,420,,,,,sc,vol2-7b.1.xlsx
Lucknow,Uttar Pradesh,2023,517,,,,,sc,vol2-7b.1.xlsx
Lucknow,Uttar Pradesh,2024,490,,,,,sc,vol2-7b.1.xlsx
Mumbai,Maharashtra,2022,58,,,,,sc,vol2-7b.1.xlsx
Mumbai,Maharashtra,2023,52,,,,,sc,vol2-7b.1.xlsx
Mumbai,Maharashtra,2024,62,,,,,sc,vol2-7b.1.xlsx
Nagpur,Maharashtra,2022,35,,,,,sc,vol2-7b.1.xlsx
Nagpur,Maharashtra,2023,40,,,,,sc,vol2-7b.1.xlsx
Nagpur,Maharashtra,2024,66,,,,,sc,vol2-7b.1.xlsx
Patna,Bihar,2022,96,,,,,sc,vol2-7b.1.xlsx
Patna,Bihar,2023,105,,,,,sc,vol2-7b.1.xlsx
Patna,Bihar,2024,253,,,,,sc,vol2-7b.1.xlsx
Pune,Maharashtra,2022,61,,,,,sc,vol2-7b.1.xlsx
Pune,Maharashtra,2023,70,,,,,sc,vol2-7b.1.xlsx
Pune,Maharashtra,2024,121,,,,,sc,vol2-7b.1.xlsx
Surat,Gujarat,2022,34,,,,,sc,vol2-7b.1.xlsx
Surat,Gujarat,2023,38,,,,,sc,vol2-7b.1.xlsx
Surat,Gujarat,2024,51,,,,,sc,vol2-7b.1.xlsx
Ahmedabad,Gujarat,2022,18,,,,,st,vol2-7d.1.xlsx
Ahmedabad,Gujarat,2023,18,,,,,st,vol2-7d.1.xlsx
Ahmedabad,Gujarat,2024,12,,,,,st,vol2-7d.1.xlsx
Bengaluru,Karnataka,2022,16,,,,,st,vol2-7d.1.xlsx
Bengaluru,Karnataka,2023,16,,,,,st,vol2-7d.1.xlsx
Bengaluru,Karnataka,2024,23,,,,,st,vol2-7d.1.xlsx
Chennai,Tamil Nadu,2022,0,,,,,st,vol2-7d.1.xlsx
Chennai,Tamil Nadu,2023,0,,,,,st,vol2-7d.1.xlsx
Chennai,Tamil Nadu,2024,0,,,,,st,vol2-7d.1.xlsx
Coimbatore,Tamil Nadu,2022,1,,,,,st,vol2-7d.1.xlsx
Coimbatore,Tamil Nadu,2023,0,,,,,st,vol2-7d.1.xlsx
Coimbatore,Tamil Nadu,2024,0,,,,,st,vol2-7d.1.xlsx
Delhi City,,2022,0,,,,,st,vol2-7d.1.xlsx
Delhi City,,2023,2,,,,,st,vol2-7d.1.xlsx
Delhi City,,2024,4,,,,,st,vol2-7d.1.xlsx
Ghaziabad,Uttar Pradesh,2022,0,,,,,st,vol2-7d.1.xlsx
Ghaziabad,Uttar Pradesh,2023,0,,,,,st,vol2-7d.1.xlsx
Ghaziabad,Uttar Pradesh,2024,0,,,,,st,vol2-7d.1.xlsx
Hyderabad,Telangana,2022,31,,,,,st,vol2-7d.1.xlsx
Hyderabad,Telangana,2023,30,,,,,st,vol2-7d.1.xlsx
Hyderabad,Telangana,2024,30,,,,,st,vol2-7d.1.xlsx
Indore,Madhya Pradesh,2022,9,,,,,st,vol2-7d.1.xlsx
Indore,Madhya Pradesh,2023,16,,,,,st,vol2-7d.1.xlsx
Indore,Madhya Pradesh,2024,7,,,,,st,vol2-7d.1.xlsx
Jaipur,Rajasthan,2022,214,,,,,st,vol2-7d.1.xlsx
Jaipur,Rajasthan,2023,228,,,,,st,vol2-7d.1.xlsx
Jaipur,Rajasthan,2024,228,,,,,st,vol2-7d.1.xlsx
Kanpur,Uttar Pradesh,2022,0,,,,,st,vol2-7d.1.xlsx
Kanpur,Uttar Pradesh,2023,0,,,,,st,vol2-7d.1.xlsx
Kanpur,Uttar Pradesh,2024,0,,,,,st,vol2-7d.1.xlsx
Kochi,Kerala,2022,5,,,,,st,vol2-7d.1.xlsx
Kochi,Kerala,2023,3,,,,,st,vol2-7d.1.xlsx
Kochi,Kerala,2024,8,,,,,st,vol2-7d.1.xlsx
Kolkata,West Bengal,2022,2,,,,,st,vol2-7d.1.xlsx
Kolkata,West Bengal,2023,2,,,,,st,vol2-7d.1.xlsx
Kolkata,West Bengal,2024,0,,,,,st,vol2-7d.1.xlsx
Kozhikode,Kerala,2022,3,,,,,st,vol2-7d.1.xlsx
Kozhikode,Kerala,2023,2,,,,,st,vol2-7d.1.xlsx
Kozhikode,Kerala,2024,2,,,,,st,vol2-7d.1.xlsx
Lucknow,Uttar Pradesh,2022,0,,,,,st,vol2-7d.1.xlsx
Lucknow,Uttar Pradesh,2023,0,,,,,st,vol2-7d.1.xlsx
Lucknow,Uttar Pradesh,2024,0,,,,,st,vol2-7d.1.xlsx
Mumbai,Maharashtra,2022,2,,,,,st,vol2-7d.1.xlsx
Mumbai,Maharashtra,2023,5,,,,,st,vol2-7d.1.xlsx
Mumbai,Maharashtra,2024,7,,,,,st,vol2-7d.1.xlsx
Nagpur,Maharashtra,2022,12,,,,,st,vol2-7d.1.xlsx
Nagpur,Maharashtra,2023,6,,,,,st,vol2-7d.1.xlsx
Nagpur,Maharashtra,2024,15,,,,,st,vol2-7d.1.xlsx
Patna,Bihar,2022,0,,,,,st,vol2-7d.1.xlsx
Patna,Bihar,2023,0,,,,,st,vol2-7d.1.xlsx
Patna,Bihar,2024,0,,,,,st,vol2-7d.1.xlsx
Pune,Maharashtra,2022,0,,,,,st,vol2-7d.1.xlsx
Pune,Maharashtra,2023,3,,,,,st,vol2-7d.1.xlsx
Pune,Maharashtra,2024,7,,,,,st,vol2-7d.1.xlsx
Surat,Gujarat,2022,16,,,,,st,vol2-7d.1.xlsx
Surat,Gujarat,2023,18,,,,,st,vol2-7d.1.xlsx
Surat,Gujarat,2024,17,,,,,st,vol2-7d.1.xlsx
Ahmedabad,Gujarat,2022,591,,,,,economic,vol2-8b.1.xlsx
Ahmedabad,Gujarat,2023,646,,,,,economic,vol2-8b.1.xlsx
Ahmedabad,Gujarat,2024,806,,,12.7,64.3,economic,vol2-8b.1.xlsx
Bengaluru,Karnataka,2022,3245,,,,,economic,vol2-8b.1.xlsx
Bengaluru,Karnataka,2023,3858,,,,,economic,vol2-8b.1.xlsx
Bengaluru,Karnataka,2024,3477,,,40.9,49.1,economic,vol2-8b.1.xlsx
Chennai,Tamil Nadu,2022,1038,,,,,economic,vol2-8b.1.xlsx
Chennai,Tamil Nadu,2023,2155,,,,,economic,vol2-8b.1.xlsx
Chennai,Tamil Nadu,2024,2436,,,28.0,42.5,economic,vol2-8b.1.xlsx
Coimbatore,Tamil Nadu,2022,261,,,,,economic,vol2-8b.1.xlsx
Coimbatore,Tamil Nadu,2023,499,,,,,economic,vol2-8b.1.xlsx
Coimbatore,Tamil Nadu,2024,660,,,30.7,59.8,economic,vol2-8b.1.xlsx
Delhi City,,2022,5007,,,,,economic,vol2-8b.1.xlsx
Delhi City,,2023,4580,,,,,economic,vol2-8b.1.xlsx
Delhi City,,2024,4524,,,27.7,58.1,economic,vol2-8b.1.xlsx
Ghaziabad,Uttar Pradesh,2022,1024,,,,,economic,vol2-8b.1.xlsx
Ghaziabad,Uttar Pradesh,2023,1004,,,,,economic,vol2-8b.1.xlsx
Ghaziabad,Uttar Pradesh,2024,775,,,32.9,59.7,economic,vol2-8b.1.xlsx
Hyderabad,Telangana,2022,6015,,,,,economic,vol2-8b.1.xlsx
Hyderabad,Telangana,2023,5728,,,,,economic,vol2-8b.1.xlsx
Hyderabad,Telangana,2024,5839,,,75.4,30.6,economic,vol2-8b.1.xlsx
Indore,Madhya Pradesh,2022,562,,,,,economic,vol2-8b.1.xlsx
Indore,Madhya Pradesh,2023,553,,,,,economic,vol2-8b.1.xlsx
Indore,Madhya Pradesh,2024,295,,,13.6,74.2,economic,vol2-8b.1.xlsx
Jaipur,Rajasthan,2022,5332,,,,,economic,vol2-8b.1.xlsx
Jaipur,Rajasthan,2023,5304,,,,,economic,vol2-8b.1.xlsx
Jaipur,Rajasthan,2024,5471,,,178.0,17.4,economic,vol2-8b.1.xlsx
Kanpur,Uttar Pradesh,2022,595,,,,,economic,vol2-8b.1.xlsx
Kanpur,Uttar Pradesh,2023,629,,,,,economic,vol2-8b.1.xlsx
Kanpur,Uttar Pradesh,2024,463,,,15.9,75.4,economic,vol2-8b.1.xlsx
Kochi,Kerala,2022,445,,,,,economic,vol2-8b.1.xlsx
Kochi,Kerala,2023,869,,,,,economic,vol2-8b.1.xlsx
Kochi,Kerala,2024,1050,,,49.6,65.0,economic,vol2-8b.1.xlsx
Kolkata,West Bengal,2022,2013,,,,,economic,vol2-8b.1.xlsx
Kolkata,West Bengal,2023,1544,,,,,economic,vol2-8b.1.xlsx
Kolkata,West Bengal,2024,1825,,,12.9,92.4,economic,vol2-8b.1.xlsx
Kozhikode,Kerala,2022,191,,,,,economic,vol2-8b.1.xlsx
Kozhikode,Kerala,2023,422,,,,,economic,vol2-8b.1.xlsx
Kozhikode,Kerala,2024,469,,,23.1,42.3,economic,vol2-8b.1.xlsx
Lucknow,Uttar Pradesh,2022,3702,,,,,economic,vol2-8b.1.xlsx
Lucknow,Uttar Pradesh,2023,2446,,,,,economic,vol2-8b.1.xlsx
Lucknow,Uttar Pradesh,2024,1732,,,59.7,50.8,economic,vol2-8b.1.xlsx
Mumbai,Maharashtra,2022,6960,,,,,economic,vol2-8b.1.xlsx
Mumbai,Maharashtra,2023,6476,,,,,economic,vol2-8b.1.xlsx
Mumbai,Maharashtra,2024,7771,,,42.2,48.2,economic,vol2-8b.1.xlsx
Nagpur,Maharashtra,2022,550,,,,,economic,vol2-8b.1.xlsx
Nagpur,Maharashtra,2023,697,,,,,economic,vol2-8b.1.xlsx
Nagpur,Maharashtra,2024,748,,,29.9,31.5,economic,vol2-8b.1.xlsx
Patna,Bihar,2022,1532,,,,,economic,vol2-8b.1.xlsx
Patna,Bihar,2023,1861,,,,,economic,vol2-8b.1.xlsx
Patna,Bihar,2024,1402,,,68.5,92.2,economic,vol2-8b.1.xlsx
Pune,Maharashtra,2022,1023,,,,,economic,vol2-8b.1.xlsx
Pune,Maharashtra,2023,1207,,,,,economic,vol2-8b.1.xlsx
Pune,Maharashtra,2024,2125,,,42.1,56.1,economic,vol2-8b.1.xlsx
Surat,Gujarat,2022,674,,,,,economic,vol2-8b.1.xlsx
Surat,Gujarat,2023,742,,,,,economic,vol2-8b.1.xlsx
Surat,Gujarat,2024,879,,,19.2,78.4,economic,vol2-8b.1.xlsx
Ahmedabad,Gujarat,2022,261,,,,,cyber,vol2-9b.1.xlsx
Ahmedabad,Gujarat,2023,246,,,,,cyber,vol2-9b.1.xlsx
Ahmedabad,Gujarat,2024,396,,,6.2,48.6,cyber,vol2-9b.1.xlsx
Bengaluru,Karnataka,2022,9940,,,,,cyber,vol2-9b.1.xlsx
Bengaluru,Karnataka,2023,17631,,,,,cyber,vol2-9b.1.xlsx
Bengaluru,Karnataka,2024,17561,,,206.6,24.2,cyber,vol2-9b.1.xlsx
Chennai,Tamil Nadu,2022,271,,,,,cyber,vol2-9b.1.xlsx
Chennai,Tamil Nadu,2023,1352,,,,,cyber,vol2-9b.1.xlsx
Chennai,Tamil Nadu,2024,1882,,,21.6,41.2,cyber,vol2-9b.1.xlsx
Coimbatore,Tamil Nadu,2022,68,,,,,cyber,vol2-9b.1.xlsx
Coimbatore,Tamil Nadu,2023,207,,,,,cyber,vol2-9b.1.xlsx
Coimbatore,Tamil Nadu,2024,300,,,13.9,17.9,cyber,vol2-9b.1.xlsx
Delhi City,,2022,685,,,,,cyber,vol2-9b.1.xlsx
Delhi City,,2023,407,,,,,cyber,vol2-9b.1.xlsx
Delhi City,,2024,404,,,2.5,77.8,cyber,vol2-9b.1.xlsx
Ghaziabad,Uttar Pradesh,2022,626,,,,,cyber,vol2-9b.1.xlsx
Ghaziabad,Uttar Pradesh,2023,880,,,,,cyber,vol2-9b.1.xlsx
Ghaziabad,Uttar Pradesh,2024,479,,,20.3,21.3,cyber,vol2-9b.1.xlsx
Hyderabad,Telangana,2022,4436,,,,,cyber,vol2-9b.1.xlsx
Hyderabad,Telangana,2023,4855,,,,,cyber,vol2-9b.1.xlsx
Hyderabad,Telangana,2024,4009,,,51.7,12.9,cyber,vol2-9b.1.xlsx
Indore,Madhya Pradesh,2022,47,,,,,cyber,vol2-9b.1.xlsx
Indore,Madhya Pradesh,2023,86,,,,,cyber,vol2-9b.1.xlsx
Indore,Madhya Pradesh,2024,57,,,2.6,82.4,cyber,vol2-9b.1.xlsx
Jaipur,Rajasthan,2022,310,,,,,cyber,vol2-9b.1.xlsx
Jaipur,Rajasthan,2023,551,,,,,cyber,vol2-9b.1.xlsx
Jaipur,Rajasthan,2024,197,,,6.4,33.2,cyber,vol2-9b.1.xlsx
Kanpur,Uttar Pradesh,2022,541,,,,,cyber,vol2-9b.1.xlsx
Kanpur,Uttar Pradesh,2023,481,,,,,cyber,vol2-9b.1.xlsx
Kanpur,Uttar Pradesh,2024,449,,,15.4,84.6,cyber,vol2-9b.1.xlsx
Kochi,Kerala,2022,96,,,,,cyber,vol2-9b.1.xlsx
Kochi,Kerala,2023,112,,,,,cyber,vol2-9b.1.xlsx
Kochi,Kerala,2024,201,,,9.5,55.4,cyber,vol2-9b.1.xlsx
Kolkata,West Bengal,2022,75,,,,,cyber,vol2-9b.1.xlsx
Kolkata,West Bengal,2023,21,,,,,cyber,vol2-9b.1.xlsx
Kolkata,West Bengal,2024,21,,,0.1,95.6,cyber,vol2-9b.1.xlsx
Kozhikode,Kerala,2022,45,,,,,cyber,vol2-9b.1.xlsx
Kozhikode,Kerala,2023,114,,,,,cyber,vol2-9b.1.xlsx
Kozhikode,Kerala,2024,106,,,5.2,39.5,cyber,vol2-9b.1.xlsx
Lucknow,Uttar Pradesh,2022,1134,,,,,cyber,vol2-9b.1.xlsx
Lucknow,Uttar Pradesh,2023,1453,,,,,cyber,vol2-9b.1.xlsx
Lucknow,Uttar Pradesh,2024,1292,,,44.5,22.8,cyber,vol2-9b.1.xlsx
Mumbai,Maharashtra,2022,4724,,,,,cyber,vol2-9b.1.xlsx
Mumbai,Maharashtra,2023,4131,,,,,cyber,vol2-9b.1.xlsx
Mumbai,Maharashtra,2024,4939,,,26.8,30.8,cyber,vol2-9b.1.xlsx
Nagpur,Maharashtra,2022,211,,,,,cyber,vol2-9b.1.xlsx
Nagpur,Maharashtra,2023,309,,,,,cyber,vol2-9b.1.xlsx
Nagpur,Maharashtra,2024,253,,,10.1,79.6,cyber,vol2-9b.1.xlsx
Patna,Bihar,2022,222,,,,,cyber,vol2-9b.1.xlsx
Patna,Bihar,2023,235,,,,,cyber,vol2-9b.1.xlsx
Patna,Bihar,2024,642,,,31.4,100.0,cyber,vol2-9b.1.xlsx
Pune,Maharashtra,2022,357,,,,,cyber,vol2-9b.1.xlsx
Pune,Maharashtra,2023,487,,,,,cyber,vol2-9b.1.xlsx
Pune,Maharashtra,2024,1504,,,29.8,26.6,cyber,vol2-9b.1.xlsx
Surat,Gujarat,2022,371,,,,,cyber,vol2-9b.1.xlsx
Surat,Gujarat,2023,397,,,,,cyber,vol2-9b.1.xlsx
Surat,Gujarat,2024,266,,,5.8,66.7,cyber,vol2-9b.1.xlsx
